sBoId;sName;sColor;sCheckPhrase;sNotPhrase;sMatchCountBy;sLinkToday;sLinkTomorrow;sLinkDate;sSearchLink;bUse
Op;oddsPortal;yellow/black;Oddsportal.com;zápas;##n/;https://www.oddsportal.com/matches/football/_YYYY_MM_DD/;https://www.oddsportal.com/matches/football/_YYYY_MM_DD/;https://www.oddsportal.com/matches/football/_YYYY_MM_DD/;;1
Ts;tipsport;lightblue/orange;Tipsport.net a.s.;; | ;https://www.tipsport.cz/kurzy/fotbal-16?timeFilter=form.period.today;https://www.tipsport.cz/kurzy/fotbal-16?timeFilter=form.period.tomorrow;https://www.tipsport.cz/kurzy/fotbal-16?timeFilter=form.period.chooseDay&dateFrom=_UTC00000&dateTo=_UTC99999;https://www.tipsport.cz/hledani?limit=225&textsFilter=_SSS;1
